Artists,Name,Date,Genre,Writing.Credits,Features
"Pedro Capo, Farruko",Calma,5-Oct-18,"Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop","Rec808, Frank miami, George noriega, Sharo torres, Farruko, Pedro capo",
Jonas Brothers,Only Human,7-Jun-19,Pop,"Shellback, Joe jonas, Nick jonas, Kevin jonas",
Justin Moore,The Ones That Didn't Make It Back Home,12-Oct-18,Country,"Paul digiovanni, Justin moore, Jeremy stover, Chase mcgill",
Megan Thee Stallion,Big Ole Freak,11-Jun-18,Rap,Megan thee stallion,
NAV,Tap,22-Mar-19,"Canada,East Coast,Rap","London on da track, Westen weiss, Amir cash esmailian, Meek mill, Nav",Meek Mill
DJ Khaled,You Stay,17-May-19,"Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap","Clarence satch satchell, Blu june, Brittany coney, J balvin, Meek mill, Jeremih, Lil baby, Dj khaled, India","Meek Mill, J Balvin, Lil Baby, Jeremih"
"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,25-Apr-19,"Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop","Anuel aa, Farruko, Ozuna, J balvin, Daddy yankee",
Megan Thee Stallion,Cash Shit,17-May-19,"East Coast,Rap","Dababy, Megan thee stallion",DaBaby
Drake,Omerta,15-Jun-19,"Hip-Hop,Basketball,NBA,Canada,Rap","Boi 1da, Deats, Ey, Oz, Drake",
Martin Garrix,Summer Days,25-Apr-19,"Electronic Pop,Electro,Electro House,Nederland,Electronic,Electro-Pop,Rap,Electronic Trap,Tropical House,Dance-Pop,Pop","Patrick stump, Jrm, Giorgio tuinfort, Brian lee, Macklemore, Martin garrix","Macklemore, Patrick Stump"
Billie Eilish,When The Party's Over,17-Oct-18,"R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",Finneas,
Calboy,Envy Me,13-Sep-18,Rap,Calboy,
